epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.993,1.25129,1.30567,1.25596,0.95774,0.89024,0.94107,0.55175,1.43397,0.74707,1.341,0.000666163,0.000666163,0.000666163
2,183.337,1.23729,0.72232,1.25758,0.92504,0.86961,0.92972,0.58493,1.36727,0.70815,1.30754,0.00120088,0.00120088,0.00120088
3,263.355,1.21307,0.65451,1.25518,0.94257,0.9006,0.94371,0.6005,1.32555,0.64605,1.28293,0.0016036,0.0016036,0.0016036
4,342.07,1.18201,0.60831,1.23878,0.9686,0.9212,0.96253,0.62744,1.25412,0.5782,1.24255,0.001406,0.001406,0.001406
5,420.85,1.15316,0.5672,1.22249,0.9655,0.93194,0.96469,0.63462,1.25022,0.54256,1.24736,0.001208,0.001208,0.001208
6,499.638,1.12527,0.53361,1.205,0.97639,0.92871,0.96669,0.64883,1.21836,0.51671,1.21989,0.00101,0.00101,0.00101
7,578.227,1.10207,0.49818,1.19342,0.96994,0.93842,0.97224,0.66734,1.17771,0.48566,1.19243,0.000812,0.000812,0.000812
8,656.83,1.0827,0.4753,1.18378,0.97667,0.94231,0.97671,0.65991,1.20395,0.47662,1.1977,0.000614,0.000614,0.000614
9,735.623,1.05616,0.44952,1.15924,0.98005,0.94448,0.97739,0.67851,1.15623,0.45257,1.17431,0.000416,0.000416,0.000416
10,814.282,1.03117,0.42652,1.14317,0.97354,0.95403,0.97921,0.68408,1.14713,0.43889,1.17238,0.000218,0.000218,0.000218
